1,ฉันเอง,0,0.15,-0.11,0.09,0.04
2,กล้อง,0.05,-0.09,0,-0.04,0.03
3,หยุดนิ่ง,0,0.18,-0.12,0.23,0.1
4,กำลัง,0.01,0.14,-0.1,0.15,0.06
5,การคาดคะเน,-0.04,0.5,-0.03,0.08,0.17
6,พิษสง,0,0.14,-0.18,0.15,0.04
7,งานก่อสร้าง,0,0.11,0.01,0.17,0.09
8,เจตนา,-0.01,0.18,-0.07,0.15,0.08
9,ทูล,-0.07,0.02,-0.04,-0.01,-0.02
10,บรรทม,0.06,-0.02,-0.06,0.08,0.03
11,นิรุตติ,0,0,-0.05,0.14,0.03
12,เผด็จ,-0.09,-0.03,-0.03,-0.13,-0.09
13,โสภา,0.45,0.55,0,0.53,0.51
14,บทกวี,0.08,0,-0.03,0.09,0.04
15,โสภี,0.45,0.55,0,0.53,0.51
16,กล่อมเกลี้ยงเลี้ยงดู,0.36,0.21,-0.18,0.28,0.23
17,แผงควบคุม,0.69,0.62,-0.24,0.34,0.47
18,อนุสติ,-0.05,0.16,0,0.04,0.05
19,ทูต,0.03,0.16,-0.07,0.12,0.08
20,คุณธรรม,0.49,0.59,-0.08,0.59,0.53
21,คำเชื้อเชิญ,0,0.85,0,0,0.28
22,งุบๆ,0.02,0.18,-0.13,0.16,0.08
23,เกษตร,0,0.09,0.02,0.09,0.06
24,ลอยแพ,-0.99,0,0,-0.71,-0.57
25,ทูบ,-0.17,0,-0.1,-0.03,-0.1
26,ป๋า,0.05,0.13,-0.13,0.06,0.04
27,เขยื้อน,0.05,0.18,-0.1,0.28,0.14
28,ยอง,-0.01,0,0.04,-0.07,-0.03
29,นกติ๊ด,-0.1,0,-0.07,-0.05,-0.07
30,เป็นนิจศีล,0,0.15,0,0.12,0.09
31,อกุศลเจตนา,-0.93,0,0.7,-0.76,-0.8
32,ม่าน,-0.01,0.05,-0.06,0.06,0.01
33,นิ้ว,0,0,0.12,0,-0.04
34,ปริโยสาน,-0.05,0.23,-0.13,0.2,0.08
35,ยกกำลังสอง,0.03,0,0.08,0.13,0.03
36,เนืองนิจ,0.03,0.12,-0.03,0.13,0.08
37,สลักสำคัญ,0.02,0.5,-0.03,0.64,0.38
38,ชื่อเสียง,0.71,0.56,-0.02,0.75,0.67
39,ปรู๊ฟ,0.03,0.23,-0.09,0.17,0.11
40,อำไพ,0.32,0.41,0,0.13,0.28
41,ประธานาธิบดี,0.02,0.2,-0.11,0.18,0.09
42,สดำ,0.96,0.92,0,0.9,0.93
43,กฎระเบียบ,0,0.14,-0.04,0.5,0.2
44,ค่ามัธยฐาน,0.11,0.13,0.09,0.15,0.1
45,มีรสชาติดี,0.34,0.37,-0.16,0.26,0.27
46,สังหรณ์,-0.49,0.39,-0.24,-0.14,-0.16
47,พากเพียร,-0.14,0.07,-0.05,-0.05,-0.06
48,บุปผชาติ,0.06,0.19,-0.07,0.21,0.13
49,ผลัก,-0.07,0.04,-0.07,0.07,0
50,บิกินี,0,-0.11,0.1,-0.1,-0.03
51,หน้าตา,0.31,0.33,-0.04,0.37,0.32
52,ฝาปิด,0.03,0.04,0.03,0.1,0.04
53,ความฉุนเฉียว,0,0,0.95,0,-0.32
54,สำนึกบุญคุณ,0.64,0.44,0,0.67,0.58
55,ปาฐก,0,-0.02,-0.03,0.01,0
56,หลอดกระดาษ,0.1,-0.01,0.02,0,0.03
57,หวย,0,0,-0.17,0,-0.06
58,รัวกระสุน,-0.07,-0.07,-0.05,-0.19,-0.08
59,ผลัด,0.13,0.22,-0.1,0.17,0.14
60,ธรรมดา,0.14,0.13,-0.03,0.22,0.15
61,ผลับ,0,0.12,0,0.17,0.1
62,สารถี,0.07,0,-0.06,0.07,0.02
63,กำจัด,0,0,0.03,0.09,0.02
64,การรับเข้าศึกษา,0,0.17,-0.13,0.2,0.08
65,ทู้,-0.47,0.39,-0.17,-0.17,-0.14
66,ทู่,0.04,0,0.39,-0.45,-0.26
67,สวนสวรรค์,0.05,0.1,0,0.08,0.08
68,ผู้ชม,0,-0.02,-0.06,-0.09,-0.04
69,ผู้ต่อต้าน,-0.16,0.11,-0.09,-0.1,-0.08
70,บั้น,0,-0.01,0.07,0.09,0.01
71,คำนับ,0.9,0,0,0.76,0.55
72,ระบบเครือญาติ,0.43,0.55,-0.07,0.5,0.47
73,บทขับร้อง,0.07,-0.01,0.05,0.08,0.04
74,วัสดุ,0.02,0.12,-0.04,0.18,0.08
75,แรงต้านทาน,0.03,0,-0.06,-0.07,-0.03
76,ระยะเริ่มต้น,0.08,0.19,0,0.2,0.16
77,ผู้สอน,-0.05,-0.02,-0.02,-0.06,-0.04
78,มองโลกในแง่ดี,0.48,0.68,-0.26,0.26,0.38
79,นฤเบศ,0.04,0.1,0,0.08,0.07
80,ประเด็น,-0.12,-0.07,-0.11,-0.03,-0.03
81,หลานปู่,0.06,0.12,-0.13,0.06,0.04
82,น่าพึงใจ,0.77,0.8,0,0,0.52
83,เอาอย่าง,-0.04,0.15,-0.1,0.18,0.06
84,ลายมือชื่อ,-0.03,0.12,-0.05,0.08,0.04
85,หัด,-0.28,0.01,0.32,-0.28,-0.27
86,กำจัดคราบ,0.02,0,0,0.1,0.04
87,ธรรมกถึก,0,0,0,0.83,0.28
88,รีไซเคิลได้,0,0.07,0,0.15,0.07
89,ยืนยัน,0.52,0.67,-0.26,0.27,0.4
90,ความแตกร้าว,-0.85,0,0.87,-0.97,-0.9
91,ในไม่ช้า,0,0.07,0,0,0.02
92,วีรชน,0,0.99,0,0.8,0.6
93,ทวิ-,0,0.07,0.07,0.13,0.04
94,ประธาน,0.01,0.09,-0.02,0.05,0.05
95,อายุมากกว่า,0,0,0,0.79,0.26
96,อย่างน่าใจหาย,-0.47,0.39,-0.2,-0.17,-0.15
97,ทำร้ายจิตใจ,-0.85,0.04,-0.46,-0.29,-0.52
98,ความตั้งใจ,-0.09,0.16,-0.06,0.05,0.02
99,ญาติดีกัน,-0.47,0.4,-0.17,-0.19,-0.14
100,ทำการเกษตร,0,0.11,0,0.12,0.08
101,ทางวัฒนธรรม,-0.06,0,-0.06,0,-0.04
102,องก์,-0.05,0,-0.15,0.13,-0.03
103,ความเสียหาย,-0.88,-0.92,-0.88,-0.89,-0.57
104,ลูกกลิ้ง,-0.04,0.08,0.05,0.09,0.03
105,สาธิต,-0.02,0,-0.03,-0.04,-0.04
106,ออมเงิน,-0.03,0.34,-0.11,0.25,0.15
107,ซี่ลูกกรง,0.18,-0.01,0.04,-0.04,0.04
108,จำนวนคะแนน,0.02,0.24,0,0.18,0.15
109,วาระ,-0.08,0.09,-0.23,0.12,0.08
110,ผิดจารีต,0,0,0.93,-0.89,-0.61
111,เฉพาะกิจ,0.09,0.18,-0.17,0.3,0.13
112,สถาปัตยกรรมศาสตร์,0,0.11,0,0.17,0.09
113,หัวเบี้ย,0,0.27,-0.06,0,0.07
114,อั้น,-0.14,0.07,-0.07,0.02,-0.02
115,การปลด,0.61,0.64,-0.25,0.29,0.43
116,ข้อแก้ตัว,-0.18,0.11,-0.16,0.04,-0.07
117,ความขวนขวาย,0.05,0.21,-0.07,0.17,0.12
118,โรงสวด,0,0.24,0.03,0.21,0.14
119,หน้าซีดหน้าเซียว,-0.08,0,-0.07,-0.04,-0.06
120,วรรธนะ,-0.06,0.19,-0.1,0.22,0.09
121,การทำให้พ้นผิด,0.9,0,0,0.92,0.61
122,ผู้เรียนรู้,-0.1,0,0.01,-0.06,-0.06
123,กินล้างกินผลาญ,0.72,0.9,0,0,0.54
124,เร็วๆนี้,0,0.07,0,0,0.02
125,น่าน,0,0.08,0,0,0.03
126,โดยไม่คิดมูลค่า,0.73,0.77,0,0.84,0.78
127,หวน,-0.08,0.35,-0.21,0.37,0.14
128,การเติบโต,0.02,0.19,-0.14,0.2,0.09
129,ความรัก,0.69,0.64,0,0.73,0.68
130,การแก้ไขเพิ่มเติม,0,0.17,-0.07,0.13,0.08
131,ความรักใคร่,0.65,0.64,-0.06,0.62,0.61
